t A E T
5050.0 -0.00010323154758849453 -5.827284727468447e-05 1.281026611673914e-07
5060.0 -0.00010660310894405161 -5.160790029823392e-05 1.4375892845122153e-07
5070.0 -0.00010955391770139182 -4.4739261134729664e-05 1.5884775777872523e-07
5080.0 -0.00011207232732718968 -3.7694039690221794e-05 1.733095897655531e-07
5090.0 -0.00011414839792934589 -3.0500042825219644e-05 1.8708734244644175e-07
5100.0 -0.00011577393548502243 -2.318566460834579e-05 2.0012663171729687e-07
5110.0 -0.00011694252418320198 -1.5779774241246255e-05 2.1237599049251515e-07
5120.0 -0.0001176495517489922 -8.311602118391383e-06 2.2378707022994168e-07
5130.0 -0.00011789222764215662 -8.106244569284007e-07 2.3431482570830707e-07
5140.0 -0.0001176695940774959 6.6935530453099586e-06 2.439177071272272e-07
5150.0 -0.00011698252980217561 1.4171312057116039e-05 2.525578052175537e-07
5160.0 -0.00011583374662679411 2.1593138520165154e-05 2.6020102155972346e-07
5170.0 -0.0001142277787227516 2.8929739132933048e-05 2.668171827973015e-07
5180.0 -0.00011217096472249046 3.615215697287319e-05 2.723801757993161e-07
5190.0 -0.00010967142271145047 4.3231885785548554e-05 2.768680440514695e-07
5200.0 -0.00010673901817354493 5.0140982494773965e-05 2.802630701182786e-07
5210.0 -0.000103385325063862 5.6852177494971334e-05 2.825518572392629e-07
5220.0 -9.962358011989447e-05 6.333898227641908e-05 2.8372536653702846e-07
5230.0 -9.546863062060698e-05 6.957579398144547e-05 2.8377897023207886e-07
5240.0 -9.093687578702516e-05 7.553799644689579e-05 2.8271245373760225e-07
5250.0 -8.604620205000346e-05 8.120205737022115e-05 2.805300289075545e-07
5260.0 -8.081591246170399e-05 8.654562118532068e-05 2.772403093727945e-07
5270.0 -7.52666505036189e-05 9.15475972981147e-05 2.728562799099877e-07
5280.0 -6.942031860890287e-05 9.618824333244131e-05 2.6739524650032636e-07
5290.0 -6.329999171488746e-05 0.00010044924304466866 2.608787602838064e-07
5300.0 -5.692982619101908e-05 0.00010431377862662181 2.5333254876453923e-07
5310.0 -5.033496449427413e-05 0.00010776659707444633 2.4478639352814267e-07
5320.0 -4.35414359343429e-05 0.00011079407039595089 2.352740302283187e-07
5330.0 -3.657605393772676e-05 0.00011338424939947298 2.2483300502460814e-07
5340.0 -2.9466310218692008e-05 0.00011552691085180784 2.1350452775929871e-07
5350.0 -2.224026627244385e-05 0.00011721359783612974 2.0133331811542522e-07
5360.0 -1.4926442616965444e-05 0.00011843765312241075 1.883674138366924e-07
5370.0 -7.553706225940833e-06 0.00011919424544921492 1.7465799660254609e-07
5380.0 -1.511565951102978e-07 0.0001194803885917558 1.6025917622944016e-07
5390.0 7.2519891133226145e-06 0.00011929495314169349 1.4522778940698558e-07
5400.0 1.462651138352284e-05 0.00011863867097309577 1.2962316667501238e-07
5410.0 2.1943303678026996e-05 0.00011751413235038338 1.1350690177300163e-07
5420.0 2.917348731718583e-05 0.00011592577570642666 9.694260896589142e-08
5430.0 3.6288525455327594e-05 0.00011387987012285377 7.999566684027302e-08
5440.0 4.3260335723474725e-05 0.00011138449058476356 6.273297250213809e-08
5450.0 5.00614010552082e-05 0.00010844948611440697 4.5222660365897525e-08
5460.0 5.666487830470376e-05 0.00010508644089448396 2.753384913611271e-08
5470.0 6.304470418713151e-05 0.00010130862854900883 9.736357519643437e-09
5480.0 6.91756981498103e-05 9.713095974893919e-05 -8.099565619872247e-09
5490.0 7.50336617602478e-05 9.256992336741175e-05 -2.5903516846369386e-08
5500.0 8.059547420927367e-05 8.764352139608444e-05 -4.360522374592928e-08
5510.0 8.583918357372495e-05 8.237119789149825e-05 -6.113481289493584e-08
5520.0 9.074409345088806e-05 7.677376223595451e-05 -7.842309367769558e-08
5530.0 9.529084465282245e-05 7.087330699847853e-05 -9.54018264246511e-08
5540.0 9.946149160737814e-05 6.469312074512307e-05 -1.1200399223940203e-07
5550.0 0.00010323957319320533 5.825759611299223e-05 -1.2816406202059748e-07
5560.0 0.00010661017771002593 5.159213353991097e-05 -1.4381824799192558e-07
5570.0 0.0001095600017293946 4.472304101139213e-05 -1.5890476091359003e-07
5580.0 0.00011207740260655857 3.7677430221196916e-05 -1.7336405308031127e-07
5590.0 0.00011415244442833491 3.0483109570358604e-05 -1.8713904875784425e-07
5600.0 0.00011577693723295864 2.316847440006275e-05 -2.0017537983072582e-07
5610.0 0.00011694446933437823 1.576239492932774e-05 -2.124215866592229e-07
5620.0 0.00011765043262584158 8.294102299158455e-06 -2.2382933305729403e-07
5630.0 0.00011789204077083395 7.930732015685223e-07 -2.3435359152557773e-07
5640.0 0.00011766834019575863 -6.711086460724279e-06 -2.439528187183791e-07
5650.0 0.00011698021385911101 -1.4188758429147224e-05 -2.525891278831521e-07
5660.0 0.00011583037776523146 -2.161042898767441e-05 -2.602284295288469e-07
5670.0 0.00011422337024046155 -2.8946805450867424e-05 -2.668405691575327e-07
5680.0 0.00011216553402280016 -3.616893178089186e-05 -2.72399448670484e-07
5690.0 0.00010966499122718907 -4.324830287302697e-05 -2.7688312488692145e-07
5700.0 0.00010673161129020844 -5.015697706191172e-05 -2.802739010839602e-07
5710.0 0.00010337697201689695 -5.686768641089508e-05 -2.8255839471056504e-07
5720.0 9.961431387961765e-05 -6.335394432826417e-05 -2.837275860487123e-07
5730.0 9.545848776143441e-05 -6.959015011231517e-05 -2.8377686241230077e-07
5740.0 9.092589634223541e-05 -7.555168999406252e-05 -2.827060277526411e-07
5750.0 8.603442935618279e-05 -8.121503428358849e-05 -2.8051930921375867e-07
5760.0 8.080339298624614e-05 -8.655783024558617e-05 -2.7722533812155926e-07
5770.0 7.525343365903528e-05 -9.155899031478563e-05 -2.728371154170784e-07
5780.0 6.940645656158036e-05 -9.61987753347913e-05 -2.673719656374118e-07
5790.0 6.328553917858953e-05 -0.00010045887246409109 -2.6085145579939507e-07
5800.0 5.6914840208683584e-05 -0.00010432246745350994 -2.533013268125406e-07
5810.0 5.031950421664354e-05 -0.00010777431101467109 -2.447513788319221e-07
5820.0 4.3525562381133945e-05 -0.00011080077900183709 -2.3523535955781178e-07
5830.0 3.65598297621388e-05 -0.00011338992619055522 -2.247908315708598e-07
5840.0 2.9449799455821823e-05 -0.00011553153342122249 -2.1345901874715838e-07
5850.0 2.2223534088628284e-05 -0.0001172171479368052 -2.0128465190092076e-07
5860.0 1.4909555052607191e-05 -0.00011844011674137274 -1.8831578381406106e-07
5870.0 7.536729936094035e-06 -0.00011919561286211631 -1.7460360474976216e-07
5880.0 1.34158583581592e-07 -0.00011948065439849453 -1.602022391013864e-07
5890.0 -7.268941755204682e-06 -0.00011929411629229696 -1.4516853124605988e-07
5900.0 -1.4643351746286437e-05 -0.00011863673477188298 -1.295618212882613e-07
5910.0 -2.195996529506747e-05 -0.00011751110443808572 -1.1344371129958571e-07
5920.0 -2.9189904424551257e-05 -0.00011592166803314596 -9.687782150766643e-08
5930.0 -3.6304633259210854e-05 -0.00011387469889867086 -7.992954109314247e-08
5940.0 -4.3276070645288146e-05 -0.00011137827622088447 -6.266576679469474e-08
5950.0 -5.007670099284523e-05 -0.00010844225313795701 -4.51546416821132e-08
